Sample_ID,Date,Latitude,Longitude,Location,Water_type,δ18O,δD,d_excess,Notes
BW01,8/6/18,4.2865,36.1343,TBI-Ileret,Surface,7.3,31.2,-27.5,Collected by William from basin
BW02,10/4/18,4.2865,36.1343,TBI-Ileret,Surface,10.7,45.5,-39.9,Collected by William from basin
BW03,11/4/18,4.2865,36.1343,TBI-Ileret,Surface,8.0,33.9,-29.8,Collected by William from basin
BW04,12/4/18,4.2865,36.1343,TBI-Ileret,Surface,7.7,33.0,-28.5,Collected by William from basin
BW05,1/4/19,4.2865,36.1343,TBI-Ileret,Surface,4.6,32.5,-4.0,Collected by William from basin
BW06,4/1/19,4.2865,36.1343,TBI-Ileret,Surface,9.0,39.6,-32.1,Collected by William from basin
BW07,4/4/19,4.2865,36.1343,TBI-Ileret,Surface,6.1,31.3,-17.7,Collected by William from basin
BW08,9/4/19,4.2865,36.1343,TBI-Ileret,Surface,7.5,33.7,-25.9,Collected by William from basin
E01,7/3/17,4.2865,36.1343,TBI-Ileret,Surface,4.5,22.2,-14.0,Water from the TBI water collecting basin. Evaporated for 1 month after the rain (R9 and R10)
E02,7/4/18,4.2865,36.1343,TBI-Ileret,Surface,6.1,25.0,-24.1,"Rain collector/reservoir water from Ileret. Most of the water came from the rains in April and May, and has been evaporated over time."
E03,7/19/18,4.2865,36.1343,TBI-Ileret,Surface,5.0,20.6,-19.7,Rain collector/reservoir water from Ileret. Most of the water came from the rains in April and May. There was no rain since last water collection.
G01,1/31/17,4.2163,36.3067,Il Nitirwa,Ground,-1.3,-6.8,3.8,River water collected from the river bed of Il Nitirwa at the northen edge of the Sibiloi National Park. Fresh water from just below the water table. Likely similar to rainwater from the previous two nights.
G02,2/10/17,4.1917,36.2342,Il Kimere,Ground,-0.4,-1.6,1.2,Ground water collected in the Il Kimere. Dug out from about 1 m below river bed.
G03,3/18/17,3.0829,35.5150,TBI-Turkwel,Ground,2.3,14.9,-3.1,"Ground water collected from the Turkwel river bed, outside TBI Turkwel."
G04,5/28/17,4.2968,36.2184,Ileret,Ground,2.4,3.9,-15.4,"Ground water from a windmill pump, north of Ileret"
G05,5/28/17,4.3261,36.2228,Ileret,Ground,-0.1,-2.3,-1.4,"Ground water from a hand pump, North of Ileret. Very salty."
G06,5/28/17,4.3211,36.2267,Il Eeriet,Ground,-4.8,-27.2,10.9,Ground water from Ileret River. North of Ileret
G07,6/21/17,4.1849,36.4816,Karari,Ground,-2.2,-11.9,5.9,Deep aquifer water from karari. Water is fresh and not salty at all. The pump was built by KWS and TBI supported the solar pumping system.
G08,7/5/17,3.0829,35.5150,TBI-Turkwel,Ground,0.3,5.7,3.5,"Ground water collected from the Turkwel river bed, outside TBI Turkwel."
L001,9/29/16,4.2769,36.2212,Kale Beach,Lake,5.5,38.1,-5.6,Shoreline collection with TBI Origins Field School
L002,9/30/16,4.2889,36.2058,Il Eeriet Delta,Restricted Lake,6.0,41.1,-6.9,Shallow restricted waters within the small delta itself. Very turbid and warmer than adjacent lake
L003,9/30/16,4.2879,36.2059,Il Eeriet Delta,Lake,5.5,39.8,-4.0,Shoreline collection with TBI Origins Field School
L004,10/4/16,3.9479,36.1863,Koobi Fora Field Camp,Lake,5.3,39.2,-3.4,Shoreline collection with TBI Origins Field School. Saw crocadile just offshore!
L01,2/1/17,4.2572,36.2225,Kale Beach,Lake,5.5,38.3,-5.6,Lake water collected from Kale Beach.
L02,2/5/17,4.2572,36.2225,Kale Beach,Lake,5.4,39.0,-4.5,Lake water collected from Kale Beach.
L03,2/10/17,4.1766,36.2332,Il Kimere Delta,Lake,5.6,40.0,-5.0,Lake water collected from the Il Kimere delta.
L04,2/15/17,3.9479,36.1863,Koobi Fora Field Camp,Lake,5.5,39.0,-5.3,Lake Water collected from North of Koobi Fora. 
L06,3/5/17,4.2572,36.2225,Kale Beach,Lake,5.4,39.1,-4.2,Lake water collected from Kale Beach.
L07,3/26/17,4.1072,35.9174,Nariokotome,Lake,5.6,40.1,-4.9,Nariokotome lake water sample.
L08,3/25/17,3.2534,36.0204,Eliye Springs,Lake,5.5,39.9,-3.8,Eliye Springs lake water sample.
L09,6/4/17,4.2779,36.2221,Kale Beach,Lake,4.8,35.6,-2.8,Lake water collected from North of Kale Beach. It had just rained very hard and the lake water was very murky. 
L10,6/18/17,4.2779,36.2221,Kale Beach,Lake,5.7,40.4,-5.2,Lake water collected from North of Kale Beach. Water was very clear and cool. It had not rained for almost three weeks.
L11,6/20/17,4.3657,36.2171,Sericho,Lake,5.9,41.9,-5.2,Lake water collected from North of Ileret . In between Sericho and Ileret.
L12,6/20/17,4.4293,36.2207,Sericho,Lake,6.4,42.6,-8.5,Lake water collected from North of Sericho. 
L13,6/24/17,4.4591,36.2111,Omo River Delta,Restricted Lake,7.9,49.8,-13.6,"Lake water collected from North of the Kenyan/Ethipian border (Ari). Shallow, restricted delta?"
L14,7/4/17,4.2814,36.2184,Kale Beach,Lake,2.6,23.1,2.1,Lake water collected from North of Kale beach. It rained the previous night. Water was very murky.
L15,1/31/18,4.2572,36.2225,Kale Beach,Lake,5.6,40.1,-4.3,Lake water collected from Kale Beach.
L16,2/4/18,4.2572,36.2225,Kale Beach,Lake,5.4,39.1,-4.2,Lake water collected from Kale Beach.
